Sentence #;Word;POS;Tag
0;Sanaa;NN;B-NAME
;MADIHI;NN;I-NAME
1;Hay;NN;O
;—Essalama;NN;O
;N°1;NN;O
3;Casablanca;NN;B-LOCATION
;MAROC;NN;O
4;Gsm;NN;O
;662;CD;B-PHONE
;637;CD;I-PHONE
;967;CD;I-PHONE
5;E-mail;NN;O
;sanaaelmadihi;NN;B-MAIL
;gmail.com;NN;I-MAIL
6;MASTER;NN;O
;MANAGEMENT;NN;O
;FINANCIER;NN;O
7;EXPERIENCES;NNS;B-EXPERIENCE
;PROFESSIONNELLES;NNS;I-EXPERIENCE
8;Mars;NNS;B-DATE
;2008;CD;I-DATE
;jour;NN;O
9;Contrôle;NN;O
;Gestion;NN;O
;Audit;NN;O
;sein;NN;O
;groupe;NN;O
;MEDIDIS;NN;O
;MFIN;NN;O
10;MARDIS;NN;O
;BFDIS;NN;O
;enseignes;NNS;O
;YATOUT;NN;O
;YADECO;NN;O
;ISTIKBAL;NN;O
11;Elaboration;NN;O
;tableaux;NN;O
;bord;NN;O
;reporting;NN;O
12;Réalisation;NN;O
;inventaires;NNS;O
;analyse;NN;O
;écarts;NNS;O
;stocks;NNS;O
13;Etablissement;NN;O
;mise;NN;O
;place;NN;O
;procédures;NNS;O
14;Audit;NN;O
15;Chef;NN;O
;projet;NN;O
;cing;VBG;O
;études;NNS;O
;ISO;NN;O
;Diagnostic;JJ;O
;Logistique;NN;O
;Finance;NN;O
16;cadre;NN;O
;Fond;NN;O
;RAWAJ;NN;O
;société;NN;O
;MARDIS;NN;O
17;Gestion;NN;O
;formations;NNS;B-FORMATION
;professionnelles;NNS;I-FORMATION
;collaboration;NN;O
;OFPPT;NN;O
18;Avril;NN;B-DATE
;2006;CD;I-DATE
;février;NN;I-DATE
;2008;CD;I-DATE
;Chef;NN;O
;comptable;JJ;O
;responsable;JJ;O
;trésorerie;NN;O
;Sté;NN;O
;TRANSIT;NN;O
19;CHEMS;NN;O
;Déclarations;NNS;O
;TVA;NN;O
;CNSS;NN;O
;Recouvrement;NN;O
;gestion;NN;O
20;trésorerie;NN;O
;suivi;NN;O
;opérations;NNS;O
;import;NN;O
;export;NN;O
21;Octobre;NN;B-DATE
;2005;CD;I-DATE
;Mars;NNS;I-DATE
;2006;CD;I-DATE
;Sté;NN;O
;TRANSIT;NN;O
;CHEMS;NN;O
;stage;NN;O
;service;NN;O
;comptabilité;NN;O
22;Juin;NN;B-DATE
;2004;CD;I-DATE
;juillet;NN;I-DATE
;2004;CD;I-DATE
23;Stage;NN;O
;Fiduciaire;NN;O
;Comptable;JJ;O
;FIDINCO;NN;O
;service;NN;O
24;comptabilité;NN;O
;générale;NN;O
25;FORMATION;NN;B-FORMATION
26;2009;CD;B-DATE
;2010;CD;I-DATE
27;Master;NN;O
;Bac+4;NN;O
;option;NN;O
;Management;NN;O
;Financier;NN;O
;IHEES;NN;O
;Institut;NNP;O
;Hautes;NNS;O
28;Etudes;NNS;O
;Economiques;NNS;O
;Sociales;NNS;O
29;2003;CD;B-DATE
;2005;CD;I-DATE
30;Diplôme;NN;O
;Technicien;NN;O
;Spécialisé;NN;O
;Finance;NN;O
;Comptabilité;NN;O
31;H.E.Pro;NN;O
32;Ecole;NN;O
;Hautes;NNS;O
;Etudes;NNS;B-FORMATION
;Professionnelles;NNS;I-FORMATION
33;2001;CD;B-DATE
;2002;CD;I-DATE
34;Faculté;NN;O
;Sciences;NNS;O
;juridiques;NNS;O
;Economiques;NNS;O
;Sociales;NNS;O
;Casablanca;NN;B-LOCATION
35;Baccalauréat;NN;O
;Science;NN;O
;Expérimentales;NNS;O
36;COMPETENCES;NNS;B-EXPERIENCE
;PROFESSIONNELLES;NNS;I-EXPERIENCE
37;Suivi;NN;O
;implantation;NN;O
;construction;NN;O
;nouveaux;NN;O
;points;NNS;O
;ventes;NNS;O
38;Gestion;NN;O
;Relations;NNS;O
;tiers;NNS;O
;Banque;NN;O
;Cabinets;NNS;O
;Expertises;NNS;O
;clients;NNS;O
;fournisseurs;NNS;O
39;Techniques;NNS;O
;banques;NNS;O
;connaissance;NN;O
;techniques;NNS;O
;bourse;NN;O
;Suivi;NN;O
;opérations;NNS;O
40;Bancaires;NNS;O
;Suivi;NN;O
;Comptabilité;NN;O
41;Comptabilité;NN;O
;Générale;NN;O
;Analytique;NN;O
;Approfondie;NNP;O
42;Fiscalité;NN;O
;entreprises;NNS;O
43;Recouvrement;NN;O
;relations;NNS;O
;Clients;NNS;O
;Fournisseurs;NNS;O
44;Gestion;NN;O
;Ressources;NNS;O
;Humaines;NNS;O
;gestion;NN;O
;personnel;NNS;O
;magasin;NN;O
;gestion;NN;O
;conflits;NNS;O
46;Communication;NN;O
;interne;NN;O
;externe;NN;O
47;COMPETENCES;NNS;B-EXPERIENCE
;INFORMATIQUES;NN;O
48;Logiciels;NNS;O
;gestion;NN;O
;CEGID;NN;O
;Sage;NN;O
;Gestion;NN;O
;Commerciale;NN;O
;100;CD;O
;CEGID;NN;O
;Ciel;NN;O
49;Bureautique;NN;O
;Word;NN;O
;Excel;NN;O
;Access;NN;O
;PowerPoint;NN;O
50;LANGUES;NN;B-LANGUES
51;Arabe;NN;O
;Français;NN;O
;Anglais;NN;O
52;CENTRES;NN;B-LOISIR
;INTERETS;NN;I-LOISIR
53;Voyages;NNS;O
;organisé;NN;O
